	book	sentence_length	sentence	sentence_index
5871	All About Feelings	4	Connor is feeling COLD.	24
3852	Wide-awake Hedgehog	7	“We must fly south to the warm.	11
2626	I Need A Wee	3	“No,” said Giraffe.	9
1475	The Enormous Crocodile	4	That’s not a see-saw!	208
970	Elmer and the Lost Teddy	4	“The twins are asleep.”	26
11490	The Duchess and Guy	9	Finally, Guy thought he’d found his place serving tea.	23
7551	The Jolly Postman or Other People's Letters	10	The Woods WIBGOIBUN SUPPLIES LTD® Everything for the modern witch.	15
1107	Keith The Cat With The Magic Hat	9	“W-w-well first,” stammered Keith, “I need my magic wand.”	16
12625	The Pirates Next Door	9	“Their teeth a re black... their nails are too!	52
8928	How The Grinch Stole Christmas	1	WHY?”	109
7627	The Jolly Postman or Other People's Letters	11	So Cinderella went to the ball and had a marvellous time.	91
388	Barry The Fish With Fingers	5	Had poor Puffy been squashed?	30
5163	The Bumblebear	9	“Hello, bees!” said the Queen, who was in charge.	8
2899	The Owl's Lesson	10	The squirrel managed to grab the end of the string.	55
10580	Knock Knock Dinosaur	5	Woah! ONE real live dinosaur!	2
13777	The Christmas Extravaganza Hotel	7	“I’m going to have a wonderful Christmas!”	30
4438	Why Am I An Insect	11	When they separate, the female is ready to lay her eggs.	106
6946	The Dinosaur That Pooped Christmas	10	The reindeer, the sleigh bells and all things that jingle.	19
5199	The Bumblebear	3	“Mmph?” said Norman.	44
315	Peace at Last	5	“Good morning, dear,” she said.	48
10903	Stick Man	5	What's that noise up above?	59
1078	A Squash and a Squeeze	9	“That’s better - at last I can sneeze again.”	47
10217	The Smartest Giant in Town	6	“I’m the cosiest giant in town!”	81
13692	Jack and the Beanstalk	15	And with Jack on her back she flew up and out of the castle window.	66
304	Peace at Last	5	“TWEET TWEET!” went the birds.	37
4394	Why Am I An Insect	11	Antennae can also sense whether the air is warm or cold.	62
12021	The Ugly Duckling	14	Once upon a time there was a mother duck, who had seven little ducklings.	0
5849	All About Feelings	1	Hungry?	2
8883	How The Grinch Stole Christmas	8	Did that stop the old Grinch ... ?	64
605	There's A Monster In Your Book	4	Try blowing him away.	9
3421	Zog	7	“I’m no good at this,” he cried.	50
3474	Lost in Snow	8	“Can we play in it, then?” he asked.	7
11865	Princess Mirror-Belle And The Dragon Pox	2	she said.	109
1533	The Enormous Crocodile	8	"""Which table shall we sit at?” said one."	266
9113	Harry and the Dinosaurs go to School	5	“Welcome to your new school.”	17
8063	Kipper's A to Z	13	The frog would have fitted in Arnold’s box, but Kipper couldn’t catch it.	15
9919	Superworm	6	The web is plenty big enough.	55
6341	All Year Round	10	Hang a thermometer outside and record the temperature each day.	28
11917	We're Going on a Bear Hunt	5	We can’t go over it.	23
5936	All About Feelings	10	“I’m feeling excited because it’s my birthday party this afternoon.”	89
12210	Harry and the Bucketful of Dinosaurs	15	Harry said, “I will close my eyes and call their names Then you will know.”	49
6208	The Lighthouse Keeper's Lunch	3	“I have it!”	44
5554	Dragon Post	6	Look forward touting meeting your dragon.	46
8970	How The Grinch Stole Christmas	14	He s et ya er se !d d ho nw n ea t hW	151
3295	Elmer and the Stranger	3	“Hello,” Kangaroo sniffed.	31
9169	Gruff the Grump	4	A great big bear.	1
12037	The Ugly Duckling	10	But “Honk,” was all the sad little duckling could say.	16
8144	Little Red Riding Hood	14	"""Take this to your grandmother on the other side of the woods,” she said."	5
1662	Open Very Carefully, A Book With Bite!	5	He might bite your finger.	14
248	The Monstrous Tale of Celery Crumble	9	It was twitchy and stripy with tufts of fur.	58
12336	The Wheels on the Bus	15	The wheels on the bus go round and round, Round and round, round and round.	0
10784	Little by Little	22	Then, one sunny Monday, Scramble and his sister were watching their friends jumping off the Highest-Ever Rock into the Deepest-Ever Pool below.	22
5617	A Letter to Santa	19	On Christmas Eve, when the snow was all white, I sat on the floor with a letter to write.	0
696	Mind Your Manners	6	Now everyone, just stop right there!	3
12535	What The Ladybird Heard Next	5	"You'll very soon be millionaires."""	43
2215	The Owl Who Was Afraid Of The Dark	15	“Come with me and I will show you the night-time world of cats and owls.”	112
1270	The Enormous Crocodile	12	“Do you know what I wo uld like for my lunch today?”	3
6601	Hippo Owns Up	14	She told him to go to the kitchen to get a drink of water.	22
3948	Doug The Bug That Went Boing	2	he gasped.	38
70	Sugarlump and the Unicorn	11	Dancing and prancing around the ring, The star of every show.	40
10550	All For One	9	"""We could fill it with warm water,"" said Marlon."	63
6532	All Year Round	11	You will need a hyacinth bulb, a jar and some toothpicks.	219
3043	The Fox's Hiccups	2	“Hie. .	40
7367	Careful Santa!	8	Santa agreed, as he carefully stowed everything away.	10
7536	The Jolly Postman or Other People's Letters	23	Once upon a bicycle, So they say, A Jolly Postman came one day From over the hills And far away . . .	0
7767	Charlie Cook's Favourite Book	24	She kept it up till morning, then she found a shady nook And put her head back on again to read her favourite book….	44
9224	Gruff the Grump	11	Then to his great surprise the little rabbit burst into tears.	56
10149	The Smartest Giant in Town	11	"""Cheer up!” said George, and he took off his stripy tie."	13
12604	The Pirates Next Door	10	Their lad is always playing with the most alarming toys...	31
1684	Open Very Carefully, A Book With Bite!	9	And he’s not looking too happy about that tutu.	36
41	Sugarlump and the Unicorn	14	"""Done!"" came a voice, and there stood a beast With a twisty silver horn."	11
5758	Scruffy Bear and the Six White Mice	12	“Ah ...” said the fox, looking down at the curious furry eggs.	47
13420	Who Will Save Us	6	"""That is true,"" replied Old Wise."	88
10472	Born to be a Butterfly	7	A brand-new butterfly rests in the sunshine!	39
10643	Knock Knock Dinosaur	23	Then round and round the house they rush; ; So when Mum walks in through the door, the house is cleaner than before!	65
4303	The Enormous Turnip	5	The dog ripped Jack’s shirt.	31
5886	All About Feelings	3	his lower lip.	39
1393	The Enormous Crocodile	8	He could see the town not far away.	126
2157	The Owl Who Was Afraid Of The Dark	14	Plop woke up the next afternoon and went out on to the landing branch.	54
9140	Harry and the Dinosaurs go to School	1	Wait!	44
13243	Knock Knock Pirate	7	"“Here, take this treasure map,"" I say."	17
5422	Ten in the Bed and Other Counting Rhymes	7	The animals went in nine by nine...	135
3902	Wide-awake Hedgehog	3	“And sleepiness too.	61
2025	The Hedgehog's Balloon	13	It didn’t take him long to collect as many as he could carry.	12
1351	The Enormous Crocodile	7	"""Would you like some nuts?” asked Muggle-Wump."	84
1650	Open Very Carefully, A Book With Bite!	2	What’s that?	2
13064	One Snowy Night	4	Percy asked the squirrel.	37
1768	Elmer and Grandpa Eldo	7	Grandpa Eldo was pleased to see Elmer....	5
3706	Dogger	13	When it was cold he wrapped him up in a bit of blanket.	8
2009	Harry and the Dinosaurs at the Museum	5	“I was with my dinosaurs.”	89
4149	Sharing A Shell	6	“You’re getting too heavy,” says Crab.	36
9368	Snow White, Star Striker	10	“Remember, you can win if you play as a team!”	40
12407	The Cave	6	“But I’m still a little hungry...”	33
2455	The Way Home For Wolf	3	MR “Don’t worry!”	38
9621	Father Christmas Needs A Wee	4	At number 7 sweets!	16
6386	All Year Round	10	Basil is grown among other plants to keep insects away.	73
13244	Knock Knock Pirate	8	“You can keep it if you go away.	18
7438	Careful Santa!	13	Quickly, Santa took off his jacket and spread it out on the ground.	81
3746	Dogger	7	Bella joined in to look for Dogger.	48
1701	Open Very Carefully, A Book With Bite!	7	I wonder where he’ll turn up next?	53
7681	What The Ladybird Heard	14	Round the duck pond, past the hog (Be careful not to wake the dog).	12
2536	Elmer and Wilbur	3	“Wilbur,” gasped Elmer.	55
217	The Monstrous Tale of Celery Crumble	11	“If you act like a monster then a monster you’ll become.	27
12424	Where's My Teddy	5	“Is it Freddy?” said Eddy.	14
5431	Ten in the Bed and Other Counting Rhymes	3	Fly away, Paul!	144
13392	Who Will Save Us	10	All this rubbish rots making lots of smelly, bad gas.	60
8935	How The Grinch Stole Christmas	6	Then he pat ted her head.	116
10683	Barry the Fish With Fingers and the Hairy Scary Monster	8	“No one EVER wants to play” Barry smiled.	36
3996	Tyrannosaurus Drip	21	Now across the rushy river, on a hill the other side, Lived a mean Tyrannosaurus with his grim and grisly bride.	4
3015	The Fox's Hiccups	15	“I wonder if hic-Percy knows a good cure for hic-cups,” the fox said to himself.	12
4605	Sir Charlie Stinky Socks and the Really Big Adventure	1	...	47
1111	Keith The Cat With The Magic Hat	2	“Wow, Keith!	20
13899	Cinder the Bubble-Blowing Dragon	30	But when he became the junior dragon at the palace, he found he could only blow bubbles... ...and however hard he puffed and snorted, not one flicker of flame appeared.	11
9605	Father Christmas Needs A Wee	5	Father Christmas needs a wee.	0
6876	Giraffe is Left Out	11	Then Leopard's dad said it was time to start the races.	84
900	Oi Frog!	12	"“But I don’t want to Sit on a log,"" said the frog."	2
184	The Gruffalo	5	Everyone is afraid of me!	94
7746	Charlie Cook's Favourite Book	36	About a wicked jewel thief who stole the King’s best crown But then got stuck The King dialled 999 behind some sheep, and soon the cops had which slowed his car caught the crook, right down.	23
2534	Elmer and Wilbur	3	They all looked.	53
5862	All About Feelings	4	“I can’t stop yawning!”	15
10451	Born to be a Butterfly	4	The caterpillar is hungry.	18
2315	Shark In The Dark	9	Timothy Pope, Timothy Pope is looking through his telescope.	13
12984	Elephant Learns to Share	11	His new bat and ball set was no fun at all.	39
592	The Storm Whale In Winter	8	“I just had to find you!” said Noi.	36
2189	The Owl Who Was Afraid Of The Dark	7	“But dark is WONDERFUL,” said the man.	86
9505	These Are Animals	4	THESE ARE GRASSLAND ANIMALS	12
1114	Keith The Cat With The Magic Hat	1	"“More!"""	23
11445	Can't You Sleep Little Bear	4	“There is, out there!”	59
538	The Troll	1	“Stop!”	141
2254	The Cross Rabbit	9	It was hot work even in the cold weather.	19
6741	Elmer on Stilts	8	I’m sure I can come up with something.	7
7273	The Book With No Pictures	3	Oh my goodness.	58
8369	Knock Knock Alien	14	Then FOUR red Rarks with hairy ears all beam inside to whoops and cheers.	20
6592	Hippo Owns Up	2	Everyone heard.	13
3299	Elmer and the Stranger	4	But it’s no use.	35
5186	The Bumblebear	15	Amelia told the other bees what she had found out, but they didn’t believe her.	31
3838	Is It Betime Wibbly Pig	2	Wibbly Pig?	28
394	Barry The Fish With Fingers	5	ARTY “Take it away, Puffy!”	36
11564	Grandad's Island	7	In the attic it was very quiet.	49
12272	We're Going On A Lion Hunt	6	We’re going on a lion hunt.	0
13594	The Snowiest Christmas Ever	7	But when they got there ... Flooooof!	73
11199	Bottoms Up!	9	Do elephants have to walk round in their smalls?	27
5001	She Rex	1	Yuck!	24
2948	The Very Lazy Ladybird	11	So when an elephant trundled by… She hopped onto his trunk.	29
9330	Snow White, Star Striker	17	The village had a stream and a duck pond and an old red apple tree, Snow White	2
5234	Mole Hill	3	“STOP RIGHT THERE!’	12
7903	Goldilocks and the Three Bears	4	But Goldilocks wasn't scared-	8
11232	Farmer Duck	1	“Quack!”	23
9594	Elmer and the Wind	9	“I expect he’s up to another of his tricks.”	66
4165	Sharing A Shell	5	Oh, what a terrible sight!	52
13823	The Christmas Extravaganza Hotel	6	In the snow Frog found footprints.	76
2585	One Starry Night	9	Another little sheep came over the hill, trotting along.	24
13869	The Christmas Extravaganza Hotel	8	“But we need to be asleep - quick!”	122
6649	Hippo Owns Up	6	Hippo said sorry to everyone -	70
4129	Sharing A Shell	6	A blob, a bright purple blob.	16
5775	Scruffy Bear and the Six White Mice	2	“Only apples.”	64
6332	All Year Round	18	Nature diary Look and listen carefully and you will notice fascinating things happening in nature all year round.	19
4902	I Am Amelia Earhart	3	“This is awesome!”	61
2554	Elmer and Wilbur	11	Then laughing and joking together they raced all the way home.	73
4653	Sir Charlie Stinky Socks and the Really Big Adventure	32	And it’s in the middle of a deep, dark forests, where wiggly wood wait in the grass to tickle your toes, hungry beasties moan and monstrous trees groan… so nobody ever comes!”	95
5013	She Rex	7	"But Ed says, ""Maisy, you are wrong."	36
5049	She Rex	6	"Perhaps we could play pirates next?"""	72
465	The Troll	9	Once again he packed up, and off he strode.	68
13924	Cinder the Bubble-Blowing Dragon	6	“Cinder, do something,” whimpered the King.	36
113	The Gruffalo	2	“A gruffalo?	23
8781	Santa to the Rescue	14	With love from Billy Bear Dear Santa, I’d really like a new teddy bear.	31
1358	The Enormous Crocodile	8	"""Of course I am,” said th e Crocodile."	91
8184	Little Red Riding Hood	6	he said... ...then fell fast asleep.	45
6545	All Year Round	7	They only grow when the rain comes.	232
9281	Night Monkey Day Monkey	8	“Screeching owls, The colour of peas and carrots!”	37
35	Sugarlump and the Unicorn	11	"""Here in the children's bedroom Is where I want to be."	5
3143	Cave Baby	6	I A cackle in the bracken!	32
7541	The Jolly Postman or Other People's Letters	11	I hardly east any proij when she cooks it she says.	5
5076	Wake Up, Sleeping Beauty	9	And Beauty grew tired of looking after her pony.	24
8594	Tiger Has a Tantrum	10	Miss Bird said that Tiger must give the pencil back.	16
6753	Elmer on Stilts	4	“I’m serious,” said Elmer.	19
4608	Sir Charlie Stinky Socks and the Really Big Adventure	6	Haha! thought Sir Charlie Stinky Socks.	50
9279	Night Monkey Day Monkey	12	Day Monkey laughed and said, “Don’t be daft, Those giants are chimpanzees.”	35
11381	Who Will Sing My Puff-a-bye	6	“And what about dragonwheels and snoutfizzers?”	51
1720	The Most Wonderful Gift In The World	7	“I don’t like the sound of that!”	18
868	Kipper's Toybox	14	He picked up the rest of his toys and put them in his basket.	30
1713	The Most Wonderful Gift In The World	10	“Let’s open it!” said Bear, giving it a BEARISH sniff.	11
10152	The Smartest Giant in Town	5	"""Thank you!” said the giraffe."	16
8216	The Three Little Pigs	7	“Not by the hair on my chinny-chin-chin!”	15
13592	The Snowiest Christmas Ever	1	“Quick!	71
2270	The Cross Rabbit	5	It was a strange lunch.	35
13654	Jack and the Beanstalk	5	His mother woke him early.	28
1984	Harry and the Dinosaurs at the Museum	5	Sam said Harry was stupid.	64
6395	All Year Round	11	Each one is trying to attract a female to mate with.	82
13007	Elephant Learns to Share	4	Elephant found his friends.	62
12317	We're Going On A Lion Hunt	5	Have to go through it.	45
4515	The Same But Different Too	8	But I can’t drink the way you do!	4
6415	All Year Round	9	Ae m tho er n Si in mg ,	102
6351	All Year Round	4	winter, the weather changes.	38
10611	Knock Knock Dinosaur	6	BOING BOING The bath goes SPLOSH!	33
9840	The Polar Express	16	Bur the train gave a sudden lurch and started moving We were on our way home.	74
5030	She Rex	4	"“Well how d'you know?"""	53
6596	Hippo Owns Up	5	Then he got the hiccups!	17
10684	Barry the Fish With Fingers and the Hairy Scary Monster	6	“Don’t worry, I can help you.	37
1580	Harry and the Dinosaurs Go Wild	8	Sam said he was too little to understand.	8
6109	All About Feelings	2	“It’s ok.	262
8048	Kipper's A to Z	6	This is Kipper’s little friend, Arnold.	0
9515	These Are Animals	2	Butterflies flap.	22
9266	Night Monkey Day Monkey	7	“Night-time is creepy and I’m feeling sleepy.	22
5015	She Rex	2	Dying out?	38
8201	The Three Little Pigs	13	Once upon a time lived a mother pig, with her three little pigs.	0
3613	Monkey Needs to Listen	4	Mr Croc was cross.	63
9275	Night Monkey Day Monkey	5	Why are they in disguise?”	31
6182	The Lighthouse Keeper's Lunch	5	“She’s a great cook, Fred.”	18
4367	Why Am I An Insect	13	Like all insects, a dragonfly has a heart that is long and thin.	35
11972	We're Going on a Bear Hunt	4	A narrow gloomy cave.	78
11981	We're Going on a Bear Hunt	4	One shiny wet nose!	87
13470	Jack Breaks The Beanstalk	7	One night Jack couldn’t resist any longer.	13
8117	Kipper's A to Z	4	Tt is for toys.	69
12445	The Singing Mermaid	7	Circle the differences in the picture below.	8
12731	Captain Duck	13	The little boat bobs on and on until the river banks are gone.	47
7289	The First Christmas	5	Joseph loved Mary very much.	7
8424	Knock Knock Alien	6	We party long into the night.	75
4125	Sharing A Shell	2	Quick, Crab!	12
10372	Wiggling Worms At Work	23	The wormlets inch along, finding bits of dead plants to eat, dragging them to their tunnels, and covering any leftovers with their castings.	77
7444	Careful Santa!	14	Mouse jumped and, with a bounce and a plop, landed safely on Santa’s coat.	87
6817	Giraffe is Left Out	7	He said everyone would get party hats.	25
2019	The Hedgehog's Balloon	4	Percy was counting balloons.	6
11173	Bottoms Up!	8	We’re here to protest against wearing a nappy!	1
5524	Dragon Post	9	You never know when it might ERUPT INTO FLAMES!	16
8118	Kipper's A to Z	8	‘I know what begins with U!’ said Kipper.	70
10446	Born to be a Butterfly	6	Hundreds of caterpillars hatch alongside her.	13
6794	Giraffe is Left Out	17	She said Monkey, Little Lion and Giraffe could be Leopard's friends and help him to feel welcome.	2
2974	The Dinosaur Department Store	8	He pulled back the curtain with outrageous flair.	20
12650	The Pirates Next Door	6	“They’re digging holes and fighting fights.	77
5400	Ten in the Bed and Other Counting Rhymes	20	And if teddy takes one And gobbles it all up - There’ll be no big ice-creams Standing in the shop.	113
1026	The Hungry Caterpillar	16	Now he was n’t hungry any more - and he wasn’t a little caterpillar any more.	13
1739	The Most Wonderful Gift In The World	5	THEY REALLY ARE QUITE DEEP!	37
1965	Harry and the Dinosaurs at the Museum	18	Nan and Harry and the dinosaurs waited at a table while Mum and Sam went to queue up.	45
1516	The Enormous Crocodile	6	So did all the other children.	249
1493	The Enormous Crocodile	10	He looked exactly like a wooden crocodile on the roundabout.	226
3341	Elmer and the Stranger	16	Kangaroo gave a laugh, and with an enormous bounce once again landed beside Lion and Tiger.	77
11203	Bottoms Up!	7	A bottom is truly a wonderful thing.	31
8608	Tiger Has a Tantrum	12	Miss Bird said Tiger had to go inside and miss playtime altogether!	30
10973	When Granny Saved Christmas	4	Six! Twenty!” yelled Bubble.	37
1002	Elmer and the Lost Teddy	11	“I said I’d call you if I found Teddy” he said.	58
3351	Elmer and the Stranger	3	they laughed together.	87
11775	Princess Mirror-Belle And The Dragon Pox	7	“Are you really a princess?” asked Ellen.	19
6735	Elmer on Stilts	5	They were looking very worried.	1
11951	We're Going on a Bear Hunt	2	Stumble trip!	57
7852	The Runaway Pea	10	then into the dog bowl he fell with a PLOP!	9
9990	Mini Beasties	14	Here’s a wall - a tower, too, a tiny bug town, just for you.	45
8494	Boogie Bear	22	oh dear, oh very very dear!” said the polar bear, and she ran away into the forest as fast® as she could.	49
8830	How The Grinch Stole Christmas	6	he snarle d with a sneer.	11
3844	Wide-awake Hedgehog	4	Isaac wanted to play.	3
1261	Santa is Coming to Devon	10	he said, patting the youngest reindeer gently on the nose.	93
167	The Gruffalo	16	They waited some more till the Gruffalo said, “I hear a hoot in the trees ahead..”	77
6872	Giraffe is Left Out	7	There were sticky buns and cherry buns.	80
9747	Romp in the Swamp	5	Oh no, he’s squeezing Tyrannosaurus!	35
5715	Scruffy Bear and the Six White Mice	35	Scruffy Bear set off at once to find out what the matter was, and right in the middle of the wood, caught by the last gleam of the setting sun, he found six white mice.	4
2183	The Owl Who Was Afraid Of The Dark	9	So he flew down, landing with a gentle bump.	80
9763	Romp in the Swamp	11	“Would you like to play with Charlie another day?” called Mum.	51
4730	Ruby's Worry	17	The funny thing was that no one else could see Ruby’s Worry - not even her teacher.	13
6438	All Year Round	14	Butterflies curl their feeding tubes under their heads when they are not in use.	125
1655	Open Very Carefully, A Book With Bite!	5	Or could it be hiding?	7
6427	All Year Round	4	scent, like buddleia flowers.	114
8654	Tiger Has a Tantrum	12	He said he should tidy up all the mess in the library.	76
8833	How The Grinch Stole Christmas	20	"Then he growled, with his Grinch fingers nervously d rumming, ""I MUST find some way to stop Christmas from coming!"""	14
6194	The Lighthouse Keeper's Lunch	7	“A most ingenious plan,” agreed Mr. Grinling.	30
2631	I Need A Wee	5	Then Alan saw Claude’s party.	14
8268	The Three Little Pigs	5	The wolf was worn out.	67
7613	The Jolly Postman or Other People's Letters	18	The s at lmep om sto ath e or ca en ,d et ah ve ns gi s	77
7571	The Jolly Postman or Other People's Letters	1	sR	35
6006	All About Feelings	7	“Oh no you must be feeling sad.”	159
9799	The Polar Express	8	“There,” said the guard, “is the North Pole.”	33
10695	Barry the Fish With Fingers and the Hairy Scary Monster	6	"""Thanks, Barry,"" Colin the seahorse smiled."	48
6786	Elmer on Stilts	6	“Hurrah for Elmer!” shouted the elephants.	52
6605	Hippo Owns Up	3	It looked Delicious.	26
12512	What The Ladybird Heard Next	4	".""Quack!"" said the duck."	20
3478	Lost in Snow	8	“Wait for me!” yelped Ollie, racing after them.	11
4561	Sir Charlie Stinky Socks and the Really Big Adventure	8	And what was behind that little wooden door?	3
11166	Cinderella's Ballet Shoes	14	“Silly me, 1 forgot I had these when I was your age,” said Griselda.	65
1199	Santa is Coming to Devon	13	Santa’s sleigh flew through the starry night heading south across the Irish Sea.	31
4464	Why Am I An Insect	11	Each time the larva moults, it has a slightly larger exoskeleton.	132
247	The Monstrous Tale of Celery Crumble	6	But Celery did have a tail.	57
9856	The Polar Express	8	"Signed, "" Mr. G” I shook the bell."	90
10741	Squash the Spider	1	Whizz!	40
7139	The Detective Dog	8	Who threw the hazelnuts down from the trees?	4
8613	Tiger Has a Tantrum	5	But Tiger had a tantrum.	35
8279	The Three Little Pigs	19	YOWL The wolf’s bottom and tail were scorched and he shot out of the chimney sparking like a rocket.	78
511	The Troll	1	“Quick!	114
2144	The Owl Who Was Afraid Of The Dark	10	“The others are playing games in the dark, lucky things.”	41
3233	The Rescue Party	3	“Ready,” shouted Percy.	64
6225	The Lighthouse Keeper's Lunch	6	and this is what he saw..	61
3387	Zog	16	Then up and off he flew, His plaster gleaming pinkly as he zigzagged through the blue.	16
11384	Who Will Sing My Puff-a-bye	8	“But I can give rides on my tail!”	54
8489	Boogie Bear	10	That is!” shouted the big one with the floppy ears.	44
12559	What The Ladybird Heard Next	1	Baa!	67
12714	Captain Duck	2	Ready.. .steady..	30
7733	Charlie Cook's Favourite Book	7	I’m not quite ready for a fight.	10
13587	The Snowiest Christmas Ever	2	“More snow!	66
11602	Harry and the Robots	10	The hospital was big but they found Nan in there.	32
8272	The Three Little Pigs	12	“He’s going to come down the chimney,” said the first little pig.	71
12864	All In One Piece	10	Which was perfectly true ... and just as well really!	48
11216	Farmer Duck	4	The duck answered, “Quack!”	7
135	The Gruffalo	6	"“Where are you me eting him?"""	45
431	The Troll	8	Suddenly he heard a sound above his head.	34
7626	The Jolly Postman or Other People's Letters	6	"""The magic • stops at midnight."""	90
3509	Lost in Snow	7	Was this the wood by his farm?	42
11278	Supertato	3	‘Aargh!” cried Broccoli.	12
3978	Doug The Bug That Went Boing	18	“I’m sorry I wouldn’t g et the ball,” said Trevor “I’m sorry I got so cross,” said Doug.	68
8803	Santa to the Rescue	9	With a snowy bump, they landed on Mistletoe Mountain.	53
13714	Super Sid The Silly Sausage Dog	31	First Sid took a giant leap over the kennel wall, to show what a good jumper he was… But… ... he landed on top of Madam Murples’ very fancy tea party.	4
2818	An Alphabet Of Stories	4	Tt The Terrible Typewriter	95
6206	The Lighthouse Keeper's Lunch	7	“What shall we do?” said Mr Grinling.	42
9158	Harry and the Dinosaurs go to School	9	“Hands up who knows how to write their name?”	62
11557	Grandad's Island	5	Everyone came to wave goodbye.	42
13616	The Snowiest Christmas Ever	11	After a good wash, the three bears cuddled by the fire.	95
4667	The Snail and the Whale	5	How I long to sail!”	5
5421	Ten in the Bed and Other Counting Rhymes	7	The slithery snake slid under the gate...	134
9478	Caterpillar Butterfly	15	All the bits of caterpillar were inside the case, he said, and they were changing.	93
5263	Mole Hill	8	Now tell us, please, how did they die?”	41
13274	Knock Knock Pirate	1	Attack!	48
6832	Giraffe is Left Out	8	Giraffe had to cut out the boat shapes.	40
10522	All For One	2	he said.	35
5766	Scruffy Bear and the Six White Mice	3	whispered Scruffy Bear.	55
9029	The Bad-Tempered Ladybird	7	"""Hey you,” said the bad- tempered ladybird."	35
9899	Superworm	21	“Have one last try, and if you fail To find that treasure down below, I’ll feed you to my hungry crow.”	35
10534	All For One	12	Marlon's mum found a scarf and sewed some curtain rings onto it.	47
4337	Why Am I An Insect	17	In this book, we will look closely at one insect, FAST FACT the dragonfly, to find out.	5
4860	I Am Amelia Earhart	5	My stomach seemed to sink.	19
1534	The Enormous Crocodile	12	"""Let’s take the table with the lovely flowers on it,” said another."	267
13237	Knock Knock Pirate	8	I start to say, “My name's not Jim!”	11
10871	Stick Man	9	The nest is deserted, and Stick Man is free.	27
1575	Harry and the Dinosaurs Go Wild	5	“Triceratops has got more horns.”	3
9886	Superworm	3	Superworm is super-strong.	22
12653	The Pirates Next Door	15	Before you know it, there’ll be more - we’ll all have pirates lodged next door!	80
2676	Harry and the Dinosaurs say Raahh!	9	They were going to see Mr Drake, the dentist.	1
2323	Shark In The Dark	7	Could it be a GREAT WHITE SHARK?	21
14133	Little Monkey	8	Monkey was fed up with always missing out.	14
5620	A Letter to Santa	10	I hope you are well when you read this note.	3
5723	Scruffy Bear and the Six White Mice	21	A moment later, silent as a ghost, the owl flew down and found Scruffy Bear standing beside six fluffy white balls.	12
10291	Ten Tall Giraffes	10	2 two Two jumping kangaroos... look how high they leap!	12
937	Oi Frog!	21	“Seals sit on wheels, doves sit on gloves, newts sit on flutes, lizards sit on wizards and apes sit on grapes.”	39
11523	Grandad's Island	8	He had never been in Grandad’s attic before.	8
833	The Princess and the Wizard	12	all the way back to the palace and in through the window.	95
9253	Night Monkey Day Monkey	2	“Flying mice!	9
9530	Elmer and the Wind	18	The elephants laughed when Wilbur made his voice come from a hole at the back of the cave.	2
9119	Harry and the Dinosaurs go to School	10	Harry missed his dinosaurs, so he didn’t like the classroom.	23
872	Kipper's Toybox	5	Kipper turned on the light.	34
7665	The Jolly Postman or Other People's Letters	43	PLEASE DO NOT BEND To Goldilocks 24 Blackbird Road Banbury Cross Birthday Wishes Pat-a-cake, pat-a-cake baker’s man, Bake me a cake as fast as you can, Carry it in on a beautiful plate And light up the candles — TODAY I AM EIGHT!	129
8710	The Teeny Weeny Tadpole	3	"""Who are you?"""	37
6286	Dogs Don't Do Ballet	4	“Dogs don’t do ballet!”	56
1175	Santa is Coming to Devon	2	chuckled Santa.	7
2859	The Owl's Lesson	5	“I’m so sorry,” said Percy.	15
1579	Harry and the Dinosaurs Go Wild	7	Harry wanted to know what endangered meant.	7
3846	Wide-awake Hedgehog	4	"""Play?” asked the squirrels."	5
1921	Harry and the Dinosaurs at the Museum	8	She had to study the Romans for homework.	1
2876	The Owl's Lesson	1	Thump!	32
2628	I Need A Wee	15	But getting Alan to the toilets wasn’t going to be easy “Ooooh, just one balloon!”	11
1083	A Squash and a Squeeze	10	“Thank you, old man, for the work you have done.	52
8962	How The Grinch Stole Christmas	8	n a s g e h o .	143
13997	The Truth According to Arthur	11	I bet your mum’s going to be REALLY cross,” said Noah.	9
5020	She Rex	4	He shakes his head.	43
13120	One Snowy Night	10	A small, dark head was sticking up through the floorboards.	93
6192	The Lighthouse Keeper's Lunch	12	“No, my dear,” said Mr Grinling, “Hamish is an accomplished seagull chaser.”	28
5430	Ten in the Bed and Other Counting Rhymes	3	Fly away, Peter!	143
411	The Troll	8	“Oh please don’t eat me!” said the spider.	14
1197	Santa is Coming to Devon	3	“Ho-ho-ho!” laughed Santa.	29
10126	Elmer and Rose	12	“You knew about the pink elephants, didn’t you, Grandpa Eldo?” said Elmer.	63
3984	Doug The Bug That Went Boing	3	It happened again!	74
10219	The Smartest Giant in Town	11	Outside his front door stood all the animals he had helped.	83
8067	Kipper's A to Z	3	“Good!” said Kipper.	19
1634	Harry and the Dinosaurs Go Wild	3	They said, “Marvellous!”	62
7290	The First Christmas	6	He was going to marry her.	8
4828	The Smeds and The Smoos	14	Then Janet said, “Maybe You’d like to make friends with our dear little baby?”	69
720	Mind Your Manners	14	Even if you’re the messiest monkey, Close your mouth when you're munching your food.	27
6958	The Dinosaur That Pooped Christmas	6	right it needed to ... POO!	31
2766	An Alphabet Of Stories	9	You can do all sorts of things with jelly.	43
9003	The Bad-Tempered Ladybird	4	"""I want those aphids.”"	9
12306	We're Going On A Lion Hunt	4	Can’t go around it.	34
