	book	sentence_length	sentence	sentence_index
5908	All About Feelings	4	I am feeling HAPPY!	61
7720	What The Ladybird Heard	9	“Baa!” said the sheep and “Woof!” said the dog.	51
3058	You Choose	7	And what would you put in it?	3
10295	Wiggling Worms At Work	18	Down in the ground, under your feet, thousands of worms wiggle around flower bulbs and tunnel under trees.	0
5945	All About Feelings	8	Think about how you are feeling right now.	98
360	Barry The Fish With Fingers	18	Big bubbles, small bubbles, round bubbles, square bubbles - they had never seen anything quite so amazing until...	2
5384	Ten in the Bed and Other Counting Rhymes	6	Along came (insert your child’s name)	97
3485	Lost in Snow	8	For a moment the puppies froze with fear.	18
11616	Harry and the Robots	10	But the doctor said not to worry, it was fine.	46
10938	When Granny Saved Christmas	15	“And we’re going to Granny’s!” added Squeak as he helped Mummy pack his snowflake pyjamas.	2
4746	Ruby's Worry	11	And then she noticed something else, something hovering next to him.	29
468	The Troll	8	“We’ll never find the right island,” they said.	71
410	The Troll	7	"""You’ll make a nice change from fish.”"	13
173	The Gruffalo	5	“You see?” said the mouse.	83
902	Oi Frog!	9	And they can give you splinters in your bottom.”	4
7649	The Jolly Postman or Other People's Letters	5	What big teeth you’ve got!	113
5044	She Rex	5	Girl dinosaurs have equal bites.	67
7868	The Runaway Pea	17	“Owwww,” cried the pea, “my bottom’s on fire,” As he flew straight on into the tumbling dryer.	25
4029	Tyrannosaurus Drip	9	And he hooted, “Down with bellyfuls of duckbill dinosaur!”	37
6945	The Dinosaur That Pooped Christmas	11	It chewed and it munched and it crunched on Kris Kringle	18
4301	The Enormous Turnip	6	No one saw the cat arrive.	29
399	The Troll	14	Meanwhile, far out at sea, there were some pirates who lived in a ship.	2
8840	How The Grinch Stole Christmas	15	eh Ney o' id r !u Nsh if so er Nth oe ii sr !	21
11872	Princess Mirror-Belle And The Dragon Pox	4	But it wasn’t Mirror-Belle.	116
9918	Superworm	4	The web is tough.	54
99	The Gruffalo	14	He has terrible tusks, and terrible claws, And terrible teeth in his terrible jaws.”	9
13259	Knock Knock Pirate	2	“Wait!” !	33
3059	You Choose	9	m t Would you travel with wheels or wings?	4
13071	One Snowy Night	6	He looked very cold and hungry.	44
10094	Elmer and Rose	6	“You’ll go faster than I would.	31
7492	Norman The Slug With The Silly Shell	3	"“Wow!"" said Norman."	39
11064	After the Storm	5	“No, wait,” said Percy .	61
6459	All Year Round	12	Tiny apples start to grow after apple blossom dies in the spring.	146
8295	Lenny Makes A Wish	11	The fishy nods her head and squeaks, “I really, really do!”	11
4714	The Snail and the Whale	44	And the whale and the snail Told their wonderful tale Of shimmering ice and coral caves, And shooting stars and enormous waves, And of how the snail, so small and frail, With her looping, curling, silvery trail, Saved the life of the humpback whale.	52
10963	When Granny Saved Christmas	6	“But Granny’s waiting to see us.	27
13084	One Snowy Night	7	This time Percy had quite a surprise.	57
13862	The Christmas Extravaganza Hotel	8	And it wasn’t over yet . . .	115
7298	The First Christmas	7	They set off early the next morning.	16
7309	The First Christmas	9	All around them cows and donkeys lay peacefully asleep.	27
5212	The Bumblebear	11	BUT THEN... … a fearsome buzzing beast burst through the trees.	57
9964	Mini Beasties	1	Kyoshi	19
2477	The Way Home For Wolf	39	So he bowed to the narwhal, ox, walrus and goose, And vowed to the fox, and the moth, and the moose… “If ever I meet one who’s strayed off their track, I’ll help them along by guiding them back.”	60
8241	The Three Little Pigs	12	The third little pig had done exactly the same as his brothers.	40
6877	Giraffe is Left Out	9	There was a running race and a hopping race.	85
9796	The Polar Express	14	We crossed a barren desert of ice - the Great P olar Ice Cap.	30
8242	The Three Little Pigs	25	He had walked happily along the road and soon met a man who was pulling a cart laden with heavy bricks and bags of cement.	41
6302	Dogs Don't Do Ballet	2	she shouts.	72
10450	Born to be a Butterfly	3	Spiders catch them.	17
5769	Scruffy Bear and the Six White Mice	4	“Hello, Bear,” she hissed.	58
7042	Lion's in a Flap	12	Worse still, what if he could not sit next to his friends?	73
7652	The Jolly Postman or Other People's Letters	22	URGENT B. B. Wolf Esq. C/o Grandma's Co ttage Horner's Corner MEENY, MINY, MO&CO., SOLICITORS Alley O Buildings, Toe Lane, Tel: 12345.	116
12320	We're Going On A Lion Hunt	4	One shiny wet nose!	48
2133	The Owl Who Was Afraid Of The Dark	8	“I haven’t much to remember yet,” said Plop.	30
4048	Tyrannosaurus Drip	6	and they shouted, “Up with war!”	56
11010	After the Storm	6	He didn’t like it one bit.	7
12637	The Pirates Next Door	5	That thing will NEVER float!”	64
1247	Santa is Coming to Devon	16	In house after house, Santa delved inside his sack for parcels of every shape and size.	79
8300	Lenny Makes A Wish	12	He throws her back and, luckily she’s none the worse for wear.	16
1659	Open Very Carefully, A Book With Bite!	1	CROCODILE!	11
12064	The Ugly Duckling	9	One day he saw the beautiful white birds again.	43
6651	Hippo Owns Up	8	He said sorry to Hattie the cat, too!	72
6101	All About Feelings	4	What do you do?	254
8387	Knock Knock Alien	7	Then WOOOAH things start to float about!	38
4509	Why Am I An Insect	11	(You will find the answer at the bottom of page 30.)	177
11648	You Can't Take An Elephant On The Bus	8	Tigers are built to spring and to leap.	11
3859	Wide-awake Hedgehog	2	I’ll be...	18
7955	Goldilocks and the Three Bears	12	"""Who's been sitting in my chair?"" squeaked Baby Bear “They've broken it!"""	60
5909	All About Feelings	4	My colour is yellow.	62
5910	All About Feelings	8	I want to PLfiV ... ... and JUMP.	63
14113	Monkey Puzzle	11	Well, if that’s the case We’ll soon discover her hiding place.”	80
9780	The Polar Express	5	I ran up to him.	14
2140	The Owl Who Was Afraid Of The Dark	8	Plop flew down, landing with an enormous thud.	37
7477	Norman The Slug With The Silly Shell	7	And the snails LOVED Norman’s silly shell.	24
2909	The Owl's Lesson	2	He flew.	65
280	Peace at Last	9	“Oh NO!” said Mr Bear, “I can’t stand THIS.”	13
12514	What The Ladybird Heard Next	22	"""Oink!"" said the hog, ""Baa!"" said the sheep and ""Woof!"" said the dog, And the two cats miaowed: ""Those bad bad men!"	22
7110	The Very Busy Spider	7	She was very busy spinning her web.	18
993	Elmer and the Lost Teddy	7	“You can talk” said Elmer in surprise.	49
11839	Princess Mirror-Belle And The Dragon Pox	16	Last week I had golden curls and the week before I had ... er, red ringlets.”	83
5613	Dragon Post	5	I would never forget him.	105
9663	Eleanor Won't Share	8	"""I just love sharing your things,” Eleanor said."	15
3679	Gordon's Great Escape	13	They thought they would never be rescued so Gordon bravely went for help.	36
13724	Super Sid The Silly Sausage Dog	9	“I’ll show everyone what a good singer I am.	14
8572	Boogie Bear	3	But they could.	127
6510	All Year Round	10	The big sleep Make an animal shelter in the autumn.	197
9609	Father Christmas Needs A Wee	14	At number 3 THREE cups of tea, At number 4 he’d had FOUR more!	4
1328	The Enormous Crocodile	7	Then he waddled off into the jungle.	61
4745	Ruby's Worry	7	He looked how she felt - sad.	28
9974	Mini Beasties	4	“I’m learning To crawl.”	29
2021	The Hedgehog's Balloon	6	“Somebody must have had a party.”	8
14086	Monkey Puzzle	4	She’s not all slimy.	53
2357	A Thing Called Snow	17	So they thanked Caribou and bounded across the meadow, looking for something as cold as their noses.	18
1923	Harry and the Dinosaurs at the Museum	13	Sam said they were our ancestors, but he was too young to understand.	3
10691	Barry the Fish With Fingers and the Hairy Scary Monster	1	Clip!	44
1225	Santa is Coming to Devon	9	Then, to his surprise, he heard a ringing sound.	57
31	Sugarlump and the Unicorn	14	And when she hears a horse's wish, She can make that wish come tine.	1
5762	Scruffy Bear and the Six White Mice	22	But they had not gone far before they heard the hiss of a slithery snake coming from a thicket just up ahead.	51
1006	Elmer and the Lost Teddy	15	Baby Elephant was excited to see his teddy again and quickly gave back Elmer’s teddy.	62
10826	The Tiger Who Came To Tea	9	all the packets and tins in the cupboard... ..	20
339	Sing A Song Of Bottoms	5	Squid have an inky one.	18
8225	The Three Little Pigs	9	But soon there was a tap on the door.	24
1346	The Enormous Crocodile	10	A bit further on, he met Mugg le-Wump, the Monkey.	79
6179	The Lighthouse Keeper's Lunch	17	It was spotted by three scavenging seagulls who set upon it and devoured it with great gusto.	15
11304	Supertato	17	When the trolley crashed - and he was thrown down into the icy depths of the freezer.	38
455	The Troll	11	“I’m not trip-trapping, I’m lolloping,” said a creature with long ears.	58
2109	The Owl Who Was Afraid Of The Dark	3	“Hello!” he said.	6
7085	How to Catch a Star	15	He tried to fish the star out with his hands, But he couldn’t reach it.	28
3297	Elmer and the Stranger	7	When I try to, I fall over.	33
6211	The Lighthouse Keeper's Lunch	6	“Indeed, my dear,” said Mr Grinling.	47
1489	The Enormous Crocodile	13	"""Now for Clever Trick Number Three,” said the Enormous Crocodile, licking his lips."	222
10056	Mini Beasties	30	I turned back and saw him trying to climb a rain-slithery fence, But a ll his legs didn’t help him, And he dropped back to the path, Feet-in-th e-air, Helpless.	111
1957	Harry and the Dinosaurs at the Museum	7	“Look, Harry is being silly!” groaned Sam.	37
4454	Why Am I An Insect	10	When grasshoppers hatch from their eggs, they are tiny grasshoppers.	122
7821	Ravi's Roar	6	Ravi had turned into a TIGER!	24
2483	Elmer and Wilbur	3	“Perhaps he’s lost.	2
10017	Mini Beasties	7	horny-goloch - earwig soople-supple hantle-lots The Flea	72
7414	Careful Santa!	2	Ready, Mouse?”	57
10424	Too Shy For Show And Tell	18	“I named him Chocolate, because that’s my favourite kind of cake, and he’s the colour of chocolate cake.”	40
4375	Why Am I An Insect	9	Nutrients pass from the food into the dragonfly’s blood.	43
4274	The Enormous Turnip	9	He saw one turnip with very big green leaves.	2
8793	Santa to the Rescue	4	“More icing!” cried Squirrel.	43
11103	Cinderella's Ballet Shoes	24	The village had a stream and a duckpond and ah old red apple tree Cinderella and it was home to and her fairytale friends.	2
7600	The Jolly Postman or Other People's Letters	1	Cinderella.	64
6906	The Tree That's Meant To Be	11	Who could speak the language of the trees and understand me?	20
102	The Gruffalo	2	“Roasted fox!	12
3589	Monkey Needs to Listen	5	Soon the go-kart was ready.	39
8231	The Three Little Pigs	12	The second little pig opened the door, and in fell his brother.	30
2099	Jasper's Jungle Journey	3	What a sight!	23
4890	I Am Amelia Earhart	20	Most important, like that day on the roller coaster, I dared to do what so many said couldn’t be done.	49
11901	We're Going on a Bear Hunt	1	Grass!	7
10825	The Tiger Who Came To Tea	8	all the food in the fridge, .. .and	19
9243	Gruff the Grump	13	And for the first time in a very long time, he was happy.	75
11934	We're Going on a Bear Hunt	6	We’ve got to go through it!	40
5562	Dragon Post	26	Our client is not sure what you are up to but it must be something very naughty, and whatever it is she whole-heartedly does not approve.	54
5380	Ten in the Bed and Other Counting Rhymes	9	There were no fat sausages sizzling in the pan.	93
11094	After the Storm	21	so tn he e bv ee sr y tb reo ed y h! o” s sa ei Id vP ee rcy.	91
1530	The Enormous Crocodile	29	By tucking his head under his chest, and by twisting his tail out of sight, he made himself look very much like a long wooden bench with four legs.	263
13925	Cinder the Bubble-Blowing Dragon	9	Cinder did the only thing he could think of.	37
4993	She Rex	2	You’re right.	16
8888	How The Grinch Stole Christmas	20	THEN He loaded some bags And some old empty sacks On a ramshackle sleigh And he hitched up old Max.	69
2167	The Owl Who Was Afraid Of The Dark	8	You’d have an empty stocking on Christmas day.”	64
9174	Gruff the Grump	15	One morning, Gruff the Grump was stomping through the forest when he saw something strange...	6
2993	The Dinosaur Department Store	7	But Eliza Jane had turned to go.	39
9755	Romp in the Swamp	8	“Help me with the snake cage!” shouted Charlie.	43
1323	The Enormous Crocodile	11	"""You don’t really mean you’re going to eat a little child?”"	56
5605	Dragon Post	11	If I was a dragun I wud want to be free.	97
3079	Whatever Next!	4	out into the night.	8
1139	Keith The Cat With The Magic Hat	1	WOOF!	48
3707	Dogger	13	Now and again Dave’s Mum said that Dogger was getting much too dirty.	9
10165	The Smartest Giant in Town	7	George came to a tiny ruined house.	29
9303	The Paper Dolls	5	And they jumped ... ..	8
2760	An Alphabet Of Stories	16	Being lazy, and not owning a hammer, she hadn’t quite got around to fixing it yet.	37
5707	Oi Dog!	6	“They are now,” smiled the frog.	36
6421	All Year Round	11	After the petals die, leave the flower heads for the birds.	108
11720	Where's My Cuddle	8	“But be careful who you give it to.”	35
5768	Scruffy Bear and the Six White Mice	18	The mice curled up once more, and a moment later the snake came slithering out of the thicket.	57
4663	The Snail and the Whale	17	This is a rock as black as soot, And this is a snail with an itchy foot.	1
3519	Lost in Snow	7	“This is our home,” said the third.	52
4265	The Rhyming Rabbit	3	Goodbye, dear friend.	87
1747	The Most Wonderful Gift In The World	17	So Bear handed over the gift, and they all huddled round to see what could be inside.	45
7281	The Book With No Pictures	7	BONK I didn’t want to say that.	66
181	The Gruffalo	13	he said, “Goodbye, little mouse,” And off he ran to his underground house.	91
11977	We're Going on a Bear Hunt	1	Tiptoe!	83
4382	Why Am I An Insect	17	Senses Like all insects, dragonflies have senses to help them find food and stay away from predators.	50
9993	Mini Beasties	5	Take this oatmeal cookie crumb.	48
8814	Santa to the Rescue	11	“Will you join us for Christmas right here on Mistletoe Mountain?”	64
1722	The Most Wonderful Gift In The World	3	But, OH DEAR!	20
7884	The Runaway Pea	6	Runaway pea, you're not loved anymore.”	41
862	Kipper's Toybox	3	Outwent Slipper, “FIVE!”	24
11239	Farmer Duck	4	They loved the duck.	30
11857	Princess Mirror-Belle And The Dragon Pox	11	"“Ah, that’s because we haven’t done part two yet,"" said Mirror-Belle."	101
10385	Too Shy For Show And Tell	5	Nobody knew much about him.	1
5809	The Gingerbread Man	12	The little old woman and the little old man ran after him.	13
6912	The Tree That's Meant To Be	15	They dressed me fer hours and hours until I was a jolly, festive tree. '	26
3563	Monkey Needs to Listen	17	He said each team was going to build a go-kart out of the wood and the wheels.	13
12935	The Gruffalo's Child	17	His ears are enormous, and over his shoulder He carries a nut as big as a boulder!	70
5477	Ten in the Bed and Other Counting Rhymes	15	So they all rolled over And one fell out, And he gave a little scream	190
13637	Jack and the Beanstalk	4	He looked very odd.	11
12692	Captain Duck	9	He’s off to take a trip on a boat.	8
3011	The Fox's Hiccups	25	The fox had been drinking some fizzy lemonade when a squirrel told him a funny joke about a parrot, a worm, and a cricket bat.	8
1730	The Most Wonderful Gift In The World	2	she said.	28
5996	All About Feelings	5	That can be extra confusing!	149
7639	The Jolly Postman or Other People's Letters	9	ee m fa ur lr li e od .	103
8517	Boogie Bear	2	he ordered.	72
8593	Tiger Has a Tantrum	3	Hippo was upset.	15
9773	The Polar Express	8	It was wrapped in an apron of steam.	7
9354	Snow White, Star Striker	13	“Did you know that he was good at football when he was young?	26
284	Peace at Last	8	went the living room clock . . .	17
10402	Too Shy For Show And Tell	13	“You can just tell the class about the thing you left at home.”	18
3154	Cave Baby	6	He doesn’t understand . . .	43
2453	The Way Home For Wolf	6	A majestic and magical… SEA UNICORN!	36
5703	Oi Dog!	8	“What will crabs sit on?” asked the dog.	32
8948	How The Grinch Stole Christmas	3	And the tinsel!	129
3501	Lost in Snow	3	“I’ll do that.”	34
1418	The Enormous Crocodile	4	"""Oh look!” cried Toto."	151
9737	Romp in the Swamp	10	In went some pans and some plants and some string.	25
10374	Wiggling Worms At Work	6	Even tiny wormlets help the soil.	79
4962	It's Christmas	8	So Archie Swept the Snow off the presents.	41
8774	Santa to the Rescue	6	‘Let’s get to work,” said Santa.	24
3063	You Choose	7	Choose some shoes… and perhaps a hat?	8
8062	Kipper's A to Z	4	Ee is for elephant	14
1783	Elmer and Grandpa Eldo	10	“Here I used to hide, then jump out and shout...”	20
13707	Jack and the Beanstalk	15	Lay, goose, lay,” he said to the goose, and patted it kindly on the head.	81
3877	Wide-awake Hedgehog	10	I rustle up the grass and whip up the clouds.	36
4442	Why Am I An Insect	20	She stops in mid-air and then pokes the tip of her abdomen below the water’s surface to lay her eggs.	110
11635	Harry and the Robots	10	It was the marching robot, back from the robot hospital.	65
624	There's A Monster In Your Book	4	Quickly, call him back...	28
7017	Lion's in a Flap	5	He always checked the oil.	48
11116	Cinderella's Ballet Shoes	6	“All you need are ballet shoes.	15
7582	The Jolly Postman or Other People's Letters	4	"""It's Spell T- B"	46
5688	Oi Dog!	8	“Slugs will sit on plugs,” said the frog.	17
3532	Lost in Snow	12	But as he closed his eyes, he heard something . . .	65
7464	Norman The Slug With The Silly Shell	15	If only I had a shell of my own,” he sighed, looking at his reflection.	11
735	Mind Your Manners	5	Just look at this place!	42
5527	Dragon Post	3	Hang on... PHEW!	19
1368	The Enormous Crocodile	11	The Roly-Poly Bird was building a nest in an orange tree.	101
13959	The Animal Boogie	17	Down in the jungle where the trees grow high, What can you see flying in the sky?	23
9254	Night Monkey Day Monkey	7	Or maybe I’m wrong and they’re rats.”	10
8665	Tiger Has a Tantrum	8	They took turns to turn over the pages.	87
8953	How The Grinch Stole Christmas	4	"""Pooh-Pooh to the Wins!"""	134
12555	What The Ladybird Heard Next	13	Then the other animals gathered round And all let out a deafening sound.	63
10624	Knock Knock Dinosaur	4	“ The T-rex shrugs.	46
9673	Eleanor Won't Share	10	It was always more fun to paint with a friend.	25
7631	The Jolly Postman or Other People's Letters	20	it no r eu ren lf ao 'r it g. laT sh se P slr ii pn pc ee sw	95
11378	Who Will Sing My Puff-a-bye	7	“No,” said Bonfire in a small voice.	48
14061	Monkey Puzzle	6	I know where she is, then.	28
10133	Elmer and Rose	6	‘Especially like you, Elmer,” laughed Eldo.	70
11269	Supertato	10	It was night-time in the supermarket and all was quiet.	3
7020	Lion's in a Flap	6	Then he thought about the weather.	51
9481	Caterpillar Butterfly	14	"The next morning I was eating my breakfast when my grandfather suddenly said, ""LOOK!"""	96
13508	Jack Breaks The Beanstalk	10	“Oh, Jack, I knew it was you,” replied his mum.	51
13410	Who Will Save Us	2	"""Well, now."	78
3251	The Rescue Party	7	“I thought I’d help you,” she said.	82
1372	The Enormous Crocodile	8	"""I have secret plans and clev er tricks."	105
14152	Little Monkey	11	“This will be fun,” she said, and she began to climb.	33
10302	Wiggling Worms At Work	10	As worms twist and turn, they push aside loose soil.	7
12500	What The Ladybird Heard Next	19	She saw two men in a big black van With a torch and a sack and a cunning plan.	8
1373	The Enormous Crocodile	11	"""I hope it’s not something nasty,” sang the Roly-Poly Bird ."	106
8302	Lenny Makes A Wish	13	But straight away it’s clear to him ... that rabbits do not swim!	18
1454	The Enormous Crocodile	5	'’We’ve got a new see-saw!”	187
7436	Careful Santa!	4	“I’m stuck,” she squeaked.	79
9965	Mini Beasties	29	The Butterfly I always think the butterfly Looks best against a clear blue sky; I do not think he looks so good Pinned down within a box of wood.	20
5980	All About Feelings	11	Her dad gave her a lovely new picture book to read.	133
13235	Knock Knock Pirate	7	But the Pirate Captain strides right in!	9
2366	A Thing Called Snow	6	'No, these are clouds,’ said Goose.	27
11283	Supertato	11	And was there anyone who could help these vegetables in distress?	17
3025	The Fox's Hiccups	17	He ran round the side of the hut, but instead of finding Percy, he found Percy’s washing.	22
4455	Why Am I An Insect	8	They grow, moulting several times, to become adults.	123
2704	Harry and the Dinosaurs say Raahh!	8	“Help!” cried Mr Drake, hiding behind the door.	29
10018	Mini Beasties	6	And here’s the happy, bounding flea-	73
4874	I Am Amelia Earhart	14	For ten minutes, we flew through the sky and out over the Pacific Ocean.	33
11403	Can't You Sleep Little Bear	12	“Thank you, Big Bear,” said Little Bear, cuddling up in the glow.	17
5547	Dragon Post	27	Because your dragon is so young it will still have a lot of growing to do, so you should fatten it up with som e juicy meat!	39
2337	Shark In The Dark	9	Tim says to his dad, “I’m sure I’m right.	35
11067	After the Storm	4	The animals looked puzzled.	64
1320	The Enormous Crocodile	6	"""Try to guess,” said the Crocodile."	53
8955	How The Grinch Stole Christmas	9	"""They’re finding out now that no Christmas is coming!"	136
8697	The Teeny Weeny Tadpole	6	"""I'm Lamb,"" said the woolly-faced creature."	24
8410	Knock Knock Alien	4	We’ll help, we’ll help!”	61
7283	The First Christmas	13	One day a great light appeared and the angel Gabriel stood before her.	1
8021	Zog and the Flying Doctors	10	They didn’t know the answer, but Pearl was pretty sure.	55
9513	These Are Animals	7	Parrots SQUAWK, snakes HISSSSSSS, and tigers crouch.	20
11270	Supertato	11	But - crash, bang - something had escaped from the freezer.	4
450	The Troll	5	“It’s briny,” said Peg Polkadot.	53
10908	Stick Man	3	A Stuck Man?	64
7925	Goldilocks and the Three Bears	2	“Too hard!”	30
13342	Who Will Save Us	18	"Old Wise began, ""We penguins live long and good lives on ice and land, and in the water."	10
12380	The Cave	5	“I already have two friends.”	6
11571	Harry and the Robots	13	It was just doing a nice march and suddenly its lights went out.	1
2858	The Owl's Lesson	6	And you’re holding me upside down.”	14
1953	Harry and the Dinosaurs at the Museum	1	“Raaah!	33
5100	Wake Up, Sleeping Beauty	13	“I didn't look after Flick properly,” Beauty told Griselda, “and now he’s gone.”	48
4096	Elmer in the Snow	9	The elephants stopped playing and hurried to find Elmer.	32
1087	A Squash and a Squeeze	8	And now she’s full of frolics and fiddle-de-dees.	56
7259	The Book With No Pictures	4	Oh, is that so?	44
3817	Is It Betime Wibbly Pig	3	No, not long.	7
13656	Jack and the Beanstalk	2	she cried.	30
7750	Charlie Cook's Favourite Book	12	A strict governess is requ ired, who can curb this vivid imagination.	27
1433	The Enormous Crocodile	11	It’s the Enormous Crocodile and he wants to eat you up!”	166
3919	Doug The Bug That Went Boing	11	And he turned away in a huff But just then.. ...	9
7034	Lion's in a Flap	13	He went on the Roaring Rocket instead and that was even more fun!	65
9066	The Bad-Tempered Ladybird	12	"""Oh, you’re not big enough,” said the bad-tempered ladybird and flew off."	72
6193	The Lighthouse Keeper's Lunch	11	“Of course,” exclaimed Mrs Grinling, “tomorrow Hamish can guard the lunch.”	29
4013	Tyrannosaurus Drip	12	And she grumbled, “He looks weedy,” and she grumbled, “He looks weak.”	21
13375	Who Will Save Us	2	+ ...	43
11492	The Duchess and Guy	7	But his tail spun out of control.	25
177	The Gruffalo	5	“It’s Fox,” said the mouse.	87
2122	The Owl Who Was Afraid Of The Dark	21	When the last firework had faded away, Mr Barn Owl went hunting, until daylight came and it was time for bed.	19
9321	The Paper Dolls	4	Oh no no no!	26
3425	Zog	6	“What a good idea!” said Zog.	54
9822	The Polar Express	15	I sat on Santa’s knee and he asked, “Now; what would you like for Christmas?”	56
457	The Troll	11	“Oh bother, I thought you were a goat,” said the troll.	60
8446	Boogie Bear	14	The biggest, furriest one of all was sunning herself on an iceberg as usual.	1
9901	Superworm	5	Everyone looks up in fright.	37
12777	The Little Bully	5	That’s a color for GIRLS!”	15
8035	Zog and the Flying Doctors	7	Bang-crash-thump he landed on the bedroom windowsill.	69
13918	Cinder the Bubble-Blowing Dragon	16	The King looked rather alarmed as the creature’s hot breath reached him and frizzled his beard.	30
63	Sugarlump and the Unicorn	9	But time went by and the jumps grew hard.	33
13575	The Snowiest Christmas Ever	6	An avalanche of white tumbled in!	54
2701	Harry and the Dinosaurs say Raahh!	13	He whispered to him not to worry, then he pressed the magic button…	26
10491	All For One	13	"""Well,"" said Marlon's granny, ""you can tidy up this room for a start."	4
11451	Can't You Sleep Little Bear	7	“Where are we going?” asked Little Bear.	65
907	Oi Frog!	7	“What about a chair?” said the frog.	9
3405	Zog	24	Now that you’ve been shown, you can practis e on your own, And you’ll all be breathing bonfires by the time you’re fully grown.”	34
4671	The Snail and the Whale	2	Sit still!	9
1795	Elmer and Grandpa Eldo	9	At the stream Elmer said, “Don’t you remember anything?	32
10360	Wiggling Worms At Work	17	When the weather cools, a ringlike cocoon forms near the head of each worm that has mated.	65
11994	We're Going on a Bear Hunt	4	Back through the forest!	100
3101	Whatever Next!	1	1	30
2227	The Owl Who Was Afraid Of The Dark	7	The little girl said dark is NECESSARY.	124
1217	Santa is Coming to Devon	1	Ding-Dong!	49
379	Barry The Fish With Fingers	12	Then the sea got darker and a big shadow covered the ocean.	21
10203	The Smartest Giant in Town	11	Suddenly George felt sad and shivery and not at all smart.	67
3997	Tyrannosaurus Drip	6	And they shouted, “Up with hunting!”	5
9541	Elmer and the Wind	7	You’re up to something Elmer,” said Wilbur.	13
9955	Mini Beasties	4	C. J. Dennis Ladybug	10
10351	Wiggling Worms At Work	7	Worms eat at the entrance their burrows.	56
4123	Sharing A Shell	7	Run for your life, Crab – hide!	10
4923	It's Christmas	2	“Jingle Bells!”	2
11412	Can't You Sleep Little Bear	9	“But I brought you a lantern!” said Big Bear.	26
2124	The Owl Who Was Afraid Of The Dark	16	“Plop, dear,” said Mrs Barn Owl, “why don’t you find out some more about the dark?	21
11537	Grandad's Island	6	“Grandad, don’t you want your stick?”	22
7517	Owl Babies	5	“I suppose so!” said Percy.	20
6950	The Dinosaur That Pooped Christmas	18	Danny's poor granny was knitting some socks, But the dino had no need for socks, it had lots!	23
13799	The Christmas Extravaganza Hotel	2	Show me!!”	52
13990	The Truth According to Arthur	25	Arthur and The Truth are NOT the best of friends right now ... because today THIS happened, Which caused THIS ... and also THIS !	2
6569	All Year Round	16	Their leaves shelter for hibernating animals can be tough and shiny or like on pages 86-87.	256
11785	Princess Mirror-Belle And The Dragon Pox	2	she asked.	29
3752	Dogger	22	Bella kindly lent him one of her teddies to go to sleep with but it was not the same thing as Dogger.	54
10561	All For One	11	"""In my day we just sat quietly and read a book."""	74
8188	Little Red Riding Hood	5	He picked up some scissors.	49
1606	Harry and the Dinosaurs Go Wild	13	“Blue whales are bigger than trains, bigger than dinosaurs, bigger than thirty-two elephants!”	34
3975	Doug The Bug That Went Boing	1	Home	65
13835	The Christmas Extravaganza Hotel	8	They played until the sky turned inky blue.	88
10346	Wiggling Worms At Work	4	Healthy plants do not.	51
8	The Night Before Christmas	2	now, Dancer!	8
6372	All Year Round	18	Indoors and outdoors You will need, packets of herb seeds and a window box with compost in it.	59
12978	Elephant Learns to Share	4	Elephant was very pleased.	33
7173	The Detective Dog	4	What could she smell?	38
6373	All Year Round	6	Sprinkle the seeds on the compost.	60
13534	The Snowiest Christmas Ever	6	And still no snow at bedtime.	13
914	Oi Frog!	7	“Gophers sit on sofas,” said the cat.	16
7844	The Runaway Pea	4	It’s a Runaway Pea!	1
9350	Snow White, Star Striker	12	Snow White still practised but it wasn't the same without her friends.	22
12657	The Pirates Next Door	3	Outside was Jim.	84
10771	Little by Little	3	Not at all?	9
9812	The Polar Express	13	We pressed through the crowd to the edge of a large, open circle.	46
13721	Super Sid The Silly Sausage Dog	8	“Now I’ll never win the best vegetable competition.	11
4353	Why Am I An Insect	12	The dragonfly’s six legs and four wings are attached to the thorax.	21
3710	Dogger	7	Dave’s baby brother, Joe, liked hard toys.	12
12816	All In One Piece	7	Mr Large was getting ready for work.	0
4256	The Rhyming Rabbit	13	So the sheep cleared her throat and recited: Any old rabbit can dig.	78
11973	We're Going on a Bear Hunt	5	We can’t go over it.	79
9316	The Paper Dolls	21	into the garden and they sniffed the flowers and chatted to a ladybird and lay down in a forest of grass.	21
8506	Boogie Bear	4	she said to herself.	61
5245	Mole Hill	28	Mole stood his ground and rubbed his head, then thinking fast, he bravely said, “I may be smaller than a digger, but I’ve faced creatures much, much bigger.”	23
5339	Ten in the Bed and Other Counting Rhymes	6	One jelly fish, one jelly fish...	52
8015	Zog and the Flying Doctors	14	The king grew worse: his head was sore, his arms and legs felt weak.	49
6634	Hippo Owns Up	9	Everyone ate their lunch, but Hippo was not hungry.	55
11879	Princess Mirror-Belle And The Dragon Pox	4	I mean, chicken pox.”	123
8825	How The Grinch Stole Christmas	10	It could be, perhaps, that his shoes were too tight.	6
11562	Grandad's Island	10	It was just the same as it had always been.	47
4701	The Snail and the Whale	2	Don’t talk!”	39
7393	Careful Santa!	4	“You nearly squashed us.”	36
8963	How The Grinch Stole Christmas	4	It started in low.	144
12853	All In One Piece	9	“Hands off!” said Mrs Large to the paint-smeared children.	37
13226	Knock Knock Pirate	2	KNOCK KNOCK!	0
9290	Night Monkey Day Monkey	5	I’m going back to bed.”	46
12739	Captain Duck	12	And there upon the restless deep three lost friends fall fast asleep.	55
